stock_id,estimate_id,maintenance_id,type_id,package_id,price_maintenance
16184,0,32091,1,200,1799
21498,0,31895,6,78,0
23240,0,33026,6,96,0
37341,5918484,36751,6,200,750
27656,0,33318,6,200,650
20821,0,32452,1,200,1699
40987,0,36165,4,200,650
16001,0,32802,6,200,900
46346,7058504,37186,6,200,1200
30138,0,33018,6,200,850
30201,0,34819,6,200,850
29127,0,32930,6,200,1350
29614,0,33701,6,76,0
102461,0,35202,6,78,0
100349,7938609,38660,2,200,470
31936,4220629,38287,6,200,1100
23568,2943278,38117,6,76,0
34255,0,36047,6,200,1250
36742,5538937,36955,6,200,1800
33254,0,34982,6,98,0
35574,5906994,37181,1,200,2149
26425,3132818,38843,6,71,0
29333,7034260,36793,6,200,650
42820,0,34978,6,200,1349
23253,0,36039,6,200,850
29586,0,32312,6,200,1200
24888,0,33860,6,200,850
25893,0,32477,1,200,1799
18620,0,31248,3,82,0
20471,0,31428,3,82,0
33951,0,35477,6,71,0
4372,0,31850,1,200,2298
25651,6468859,36682,6,200,650
24713,0,32418,6,78,0
19828,0,31923,1,200,2199
31320,0,33653,6,200,1250
14711,0,31066,1,82,0
32190,3981161,36647,6,200,850
28161,0,34317,6,96,0
44570,6503717,36472,1,200,2149
27654,0,34715,6,71,0
24802,0,33065,6,96,0
26580,0,34479,6,200,850
22919,0,34232,6,98,0
29976,0,35648,6,81,0
28267,0,34537,6,200,850
31668,0,35023,6,76,0
15038,838924,37827,1,200,2299
104532,0,35886,6,76,0
27500,0,32981,6,76,0
25417,0,34361,4,78,0
18940,1329969,37525,1,200,2299
38027,0,35104,6,78,0
39967,5327262,37608,6,200,1350
34023,0,32232,6,200,850
24014,0,32865,6,76,0
42794,0,35505,6,76,0
31573,0,35383,6,98,0
29127,3844492,37698,6,200,2299
31185,0,34051,6,98,0
28073,0,35761,6,76,0
37073,0,36108,6,76,0
26933,7072908,36995,6,76,0
30576,0,35241,6,76,0
19886,0,32015,6,200,1100
20051,0,31486,4,82,0
16634,1132248,37270,1,200,2149
35096,7366880,37685,6,200,1000
30855,0,35815,1,200,1699
25667,0,35088,1,200,2299
16524,0,31492,1,82,0
31680,5938615,38050,6,81,0
29827,0,34170,6,98,0
23227,0,32216,6,71,0
34345,4299719,37187,6,200,750
28077,0,32643,6,78,0
19535,0,32782,6,200,1000
22470,0,32962,6,76,0
15909,0,31080,3,82,0
20612,0,32511,1,200,949
14327,0,32446,1,200,2299
29394,0,33017,6,71,0
16598,0,31265,3,82,0
4515,0,31556,1,82,0
22886,4571312,36597,6,200,1100
29136,0,34770,1,200,1599
103718,9395034,38913,6,200,1700
28803,0,33525,6,78,0
36276,8702983,37423,1,200,2199
27724,4143287,38432,6,200,1700
44555,7108174,38124,6,200,1200
26740,0,33503,6,200,850
27450,0,33716,6,76,0
33771,4624827,36765,6,200,850
26178,0,33976,6,200,1499
30278,7622254,37318,6,81,0
30799,0,35417,6,81,0
21668,8199774,38645,6,200,850
28903,0,33618,6,200,1250
35250,0,35427,6,76,0
31223,0,34698,6,200,1100
33706,0,34926,6,98,0
39862,0,35117,6,98,0
16704,0,32441,6,81,0
45678,7482066,37337,6,78,0
35935,4800206,38347,6,200,1250
22607,3175629,37670,6,200,1250
21308,0,34931,6,200,1350
24021,0,31959,6,200,1350
107687,9899465,38535,6,76,0
29577,0,34257,6,200,599
17663,0,31035,1,82,0
27093,0,35982,6,200,1350
40558,0,35878,6,71,0
28438,0,34165,6,200,1800
17425,0,33020,6,76,0
20366,0,33952,1,200,2149
29778,0,33761,3,200,2299
27168,0,34119,6,78,0
27144,0,33943,6,78,0
30094,0,34817,6,78,0
28300,3334064,38467,6,76,0
36660,0,35539,6,200,1700
41639,0,36018,6,200,650
19751,0,36368,6,78,0
44698,0,35967,6,76,0
29001,0,33312,6,76,0
102646,7669113,38670,6,71,0
27034,0,34728,6,78,0
28938,0,32886,6,81,0
103287,0,35942,6,76,0
4000,0,30996,1,82,0
36281,5917530,37689,1,200,949
30646,0,34518,6,78,0
101363,8736814,38119,1,200,1599
14091,0,34874,1,200,1799
38255,0,35637,6,200,650
23487,0,32788,6,200,650
29416,0,32319,6,200,1250
46814,0,35698,6,71,0
21032,0,32705,1,200,1699
20218,0,32787,6,200,1100
37374,8620500,38856,6,200,1100
41882,7232075,36634,6,98,0
37577,0,35691,6,98,0
39124,0,35334,6,78,0
23997,2939047,36883,6,78,0
40935,7024112,37405,6,200,900
19707,0,31869,1,200,1799
23028,0,32434,6,200,1250
37421,7286043,37277,6,76,0
39519,0,35749,6,78,0
17740,0,31357,6,82,0
21304,0,34736,6,200,850
47558,7659321,38419,6,200,750
33788,0,34336,6,76,0
15042,0,31645,1,200,2199
44848,6809471,36743,6,200,1200
28889,0,35849,6,96,0
40517,0,36403,6,78,0
17022,0,31552,6,82,0
24281,0,33191,6,76,0
38993,0,35037,6,200,1200
30857,0,35332,1,200,949
31078,0,32986,1,200,949
16665,0,31827,1,200,1799
16435,0,31704,1,200,1599
29411,0,34033,6,78,0
34549,0,34729,6,200,1100
35755,0,35994,6,71,0
43485,7056271,37395,6,78,0
18722,0,31326,3,82,0
108274,10247710,38014,1,200,949
20559,0,33142,1,200,1699
3703,0,31638,1,200,949
13623,0,31525,1,82,0
20132,0,31871,1,200,2199
28310,3561499,36453,6,200,650
